Entity,Code,Year,Value
European Union,,2017,18
India,IND,1992,18
Indonesia,IDN,2016,18
Intelsat,,1974,18
Israel,ISR,2016,18
Italy,ITA,2001,18
Japan,JPN,1979,18
Mexico,MEX,2021,18
Spain,ESP,2017,18
Sweden,SWE,2017,18
Turkey,TUR,2022,18
United Kingdom,GBR,1984,18
United States,USA,1959,18
Argentina,ARG,2020,19
Australia,AUS,2017,19
Brazil,BRA,2011,19
Canada,CAN,1992,19
European Space Agency,,1979,19
Eutelsat,,2001,19
Germany,DEU,1990,19
India,IND,1993,19
Indonesia,IDN,2017,19
Italy,ITA,2002,19
Luxembourg,LUX,2010,19
Sweden,SWE,2019,19
Switzerland,CHE,2022,19
Taiwan,TWN,2022,19
United Kingdom,GBR,1988,19
Uruguay,URY,2020,19
Argentina,ARG,2021,20
Brazil,BRA,2012,20
Canada,CAN,1995,20
China,CHN,1986,20
France,FRA,1975,20
Germany,DEU,1991,20
Indonesia,IDN,2018,20
Intelsat,,1975,20
Italy,ITA,2004,20
Japan,JPN,1980,20
Norway,NOR,2023,20
South Korea,KOR,2013,20
Sweden,SWE,2022,20
United Arab Emirates,ARE,2022,20
Argentina,ARG,2022,21
Brazil,BRA,2013,21
Canada,CAN,1996,21
Finland,FIN,2022,21
Germany,DEU,1992,21
India,IND,1994,21
Indonesia,IDN,2019,21
Intelsat,,1976,21
Israel,ISR,2017,21
Luxembourg,LUX,2011,21
South Korea,KOR,2015,21
Taiwan,TWN,2023,21
United Kingdom,GBR,1989,21
Argentina,ARG,2023,22
Canada,CAN,1999,22
China,CHN,1987,22
European Space Agency,,1981,22
European Union,,2018,22
Eutelsat,,2002,22
France,FRA,1977,22
Germany,DEU,1993,22
Turkey,TUR,2023,22
United Arab Emirates,ARE,2023,22
Brazil,BRA,2014,23
Canada,CAN,2000,23
Eutelsat,,2003,23
France,FRA,1984,23
India,IND,1995,23
Indonesia,IDN,2023,23
Intelsat,,1978,23
Italy,ITA,2007,23
Japan,JPN,1981,23
Luxembourg,LUX,2012,23
Spain,ESP,2018,23
Uruguay,URY,2021,23
Canada,CAN,2001,24
European Space Agency,,1983,24
European Union,,2021,24
Eutelsat,,2004,24
France,FRA,1985,24
India,IND,1996,24
Intelsat,,1980,24
Israel,ISR,2019,24
Italy,ITA,2008,24
Japan,JPN,1982,24
Luxembourg,LUX,2013,24
Singapore,SGP,2023,24
Australia,AUS,2018,25
European Space Agency,,1985,25
France,FRA,1986,25
Germany,DEU,1994,25
Intelsat,,1981,25
Italy,ITA,2009,25
Spain,ESP,2019,25
Australia,AUS,2019,26
Brazil,BRA,2015,26
Canada,CAN,2002,26
China,CHN,1988,26
Eutelsat,,2006,26
India,IND,1997,26
Israel,ISR,2020,26
Italy,ITA,2010,26
Luxembourg,LUX,2014,26
New Zealand,NZL,2022,26
South Korea,KOR,2017,26
United Kingdom,GBR,1990,26
Brazil,BRA,2016,27
European Space Agency,,1988,27
France,FRA,1988,27
Germany,DEU,1995,27
Intelsat,,1982,27
Italy,ITA,2011,27
Japan,JPN,1983,27
United Kingdom,GBR,1991,27
Eutelsat,,2008,28
Finland,FIN,2023,28
Germany,DEU,1996,28
India,IND,1999,28
Spain,ESP,2020,28
Australia,AUS,2020,29
Canada,CAN,2003,29
European Space Agency,,1989,29
France,FRA,1990,29
India,IND,2000,29
Intelsat,,1983,29
Spain,ESP,2021,29
United Kingdom,GBR,1994,29
Canada,CAN,2004,30
Germany,DEU,1997,30
Israel,ISR,2021,30
Japan,JPN,1984,30
United Kingdom,GBR,1998,30
Brazil,BRA,2017,31
Canada,CAN,2005,31
European Space Agency,,1990,31
Eutelsat,,2009,31
France,FRA,1991,31
India,IND,2001,31
Intelsat,,1984,31
Italy,ITA,2012,31
Belgium,BEL,2017,32
China,CHN,1990,32
European Space Agency,,1991,32
Eutelsat,,2015,32
Italy,ITA,2013,32
Japan,JPN,1985,32
United Kingdom,GBR,1999,32
Uruguay,URY,2022,32
Canada,CAN,2007,33
China,CHN,1991,33
European Space Agency,,1992,33
Eutelsat,,2016,33
France,FRA,1992,33
Germany,DEU,1998,33
India,IND,2002,33
Brazil,BRA,2018,34
Intelsat,,1985,34
Italy,ITA,2014,34
Belgium,BEL,2020,35
China,CHN,1992,35
Germany,DEU,1999,35
Intelsat,,1988,35
Italy,ITA,2015,35
Luxembourg,LUX,2018,35
United States,USA,1960,35
Belgium,BEL,2021,36
Brazil,BRA,2019,36
China,CHN,1993,36
European Space Agency,,1995,36
France,FRA,1993,36
Italy,ITA,2016,36
Japan,JPN,1986,36
Russia,RUS,1962,36
United Kingdom,GBR,2000,36
Australia,AUS,2021,37
India,IND,2003,37
Intelsat,,1989,37
South Korea,KOR,2018,37
United Kingdom,GBR,2001,37
Canada,CAN,2008,38
Germany,DEU,2000,38
India,IND,2004,38
United Kingdom,GBR,2003,38
Belgium,BEL,2023,39
Brazil,BRA,2021,39
European Space Agency,,1997,39
France,FRA,1995,39
Germany,DEU,2001,39
Intelsat,,1990,39
Japan,JPN,1987,39
Luxembourg,LUX,2019,39
South Korea,KOR,2020,39
Canada,CAN,2009,40
European Space Agency,,1998,40
France,FRA,1996,40
Italy,ITA,2017,40
Uruguay,URY,2023,40
China,CHN,1994,41
European Space Agency,,1999,41
France,FRA,1998,41
India,IND,2005,41
Intelsat,,1991,41
Israel,ISR,2022,41
Italy,ITA,2018,41
Japan,JPN,1988,41
United Kingdom,GBR,2005,41
Canada,CAN,2011,42
China,CHN,1995,42
Intelsat,,1992,42
France,FRA,1999,43
Intelsat,,1993,43
South Korea,KOR,2021,43
United Kingdom,GBR,2007,43
Brazil,BRA,2022,44
Canada,CAN,2012,44
France,FRA,2001,44
Germany,DEU,2002,44
Italy,ITA,2019,44
China,CHN,1996,45
European Space Agency,,2000,45
Germany,DEU,2005,45
Intelsat,,1994,45
Israel,ISR,2023,45
Italy,ITA,2020,45
Japan,JPN,1989,45
Brazil,BRA,2023,46
Germany,DEU,2006,46
India,IND,2007,46
United Kingdom,GBR,2008,46
Australia,AUS,2023,47
European Space Agency,,2001,47
France,FRA,2002,47
Luxembourg,LUX,2020,47
Canada,CAN,2013,48
Intelsat,,1995,48
Spain,ESP,2022,48
Germany,DEU,2007,49
United Kingdom,GBR,2009,49
India,IND,2008,50
Intelsat,,1996,50
European Space Agency,,2002,51
South Korea,KOR,2022,51
Canada,CAN,2014,52
China,CHN,1997,52
Italy,ITA,2021,52
Japan,JPN,1990,52
United Kingdom,GBR,2010,52
Russia,RUS,1963,53
Spain,ESP,2023,53
Canada,CAN,2015,54
European Space Agency,,2003,54
France,FRA,2004,54
India,IND,2009,54
Intelsat,,1997,54
Japan,JPN,1991,54
United Kingdom,GBR,2011,54
France,FRA,2005,55
European Space Agency,,2004,56
India,IND,2010,56
Intelsat,,1998,56
Canada,CAN,2016,57
Intelsat,,2008,57
France,FRA,2006,58
Germany,DEU,2008,58
Intelsat,,2011,58
Japan,JPN,1992,58
Luxembourg,LUX,2021,58
United Kingdom,GBR,2012,58
France,FRA,2008,59
Intelsat,,2012,59
Japan,JPN,1993,59
Intelsat,,2014,60
Canada,CAN,2018,62
China,CHN,1998,62
European Space Agency,,2005,62
France,FRA,2009,62
Germany,DEU,2009,62
South Korea,KOR,2023,62
India,IND,2011,63
Italy,ITA,2022,63
Japan,JPN,1994,63
Germany,DEU,2010,64
Canada,CAN,2019,65
European Space Agency,,2008,65
Germany,DEU,2012,65
India,IND,2012,65
United Kingdom,GBR,2013,65
United States,USA,1961,66
Japan,JPN,1995,67
European Space Agency,,2009,70
India,IND,2013,70
Japan,JPN,1996,70
Canada,CAN,2020,71
European Space Agency,,2010,71
France,FRA,2010,71
Germany,DEU,2013,71
Germany,DEU,2014,72
China,CHN,1999,73
European Space Agency,,2011,74
Germany,DEU,2016,74
India,IND,2014,74
Italy,ITA,2023,74
Luxembourg,LUX,2022,74
United Kingdom,GBR,2014,75
Germany,DEU,2017,76
European Space Agency,,2012,77
Japan,JPN,1997,77
India,IND,2015,78
China,CHN,2000,79
Japan,JPN,1998,80
China,CHN,2001,81
Japan,JPN,1999,81
Canada,CAN,2021,82
United Kingdom,GBR,2015,82
European Space Agency,,2013,83
United Kingdom,GBR,2016,83
Japan,JPN,2000,84
European Space Agency,,2014,85
Luxembourg,LUX,2023,86
China,CHN,2002,88
European Space Agency,,2015,88
Germany,DEU,2018,88
Japan,JPN,2001,88
Russia,RUS,1964,88
France,FRA,2011,90
India,IND,2016,90
United Kingdom,GBR,2017,90
Canada,CAN,2022,91
European Space Agency,,2016,92
European Space Agency,,2017,94
France,FRA,2012,95
China,CHN,2003,97
European Space Agency,,2018,98
Japan,JPN,2002,98
Germany,DEU,2019,99
India,IND,2017,99
European Space Agency,,2019,100
Canada,CAN,2023,102
European Space Agency,,2020,102
United Kingdom,GBR,2018,102
France,FRA,2013,103
European Space Agency,,2023,104
Germany,DEU,2020,104
France,FRA,2014,105
Japan,JPN,2003,105
France,FRA,2016,107
Japan,JPN,2004,107
China,CHN,2004,108
France,FRA,2017,109
India,IND,2018,109
France,FRA,2018,111
Japan,JPN,2005,112
Germany,DEU,2021,113
China,CHN,2005,115
United Kingdom,GBR,2019,116
France,FRA,2019,118
Germany,DEU,2022,118
India,IND,2019,119
Germany,DEU,2023,120
United States,USA,1962,121
France,FRA,2020,122
India,IND,2020,122
Japan,JPN,2006,123
India,IND,2021,127
China,CHN,2006,128
Japan,JPN,2007,129
France,FRA,2021,131
Japan,JPN,2008,135
China,CHN,2007,138
India,IND,2022,138
France,FRA,2022,141
India,IND,2023,144
Japan,JPN,2009,147
France,FRA,2023,151
Russia,RUS,1965,152
China,CHN,2008,155
Japan,JPN,2010,156
Japan,JPN,2011,160
China,CHN,2009,163
Japan,JPN,2012,169
Japan,JPN,2013,174
United States,USA,1963,175
China,CHN,2010,183
Russia,RUS,1966,196
Japan,JPN,2014,198
Japan,JPN,2015,202
China,CHN,2011,203
Japan,JPN,2016,213
United Kingdom,GBR,2020,220
China,CHN,2012,229
Japan,JPN,2017,229
United States,USA,1964,246
China,CHN,2013,248
Japan,JPN,2018,248
Russia,RUS,1967,262
Japan,JPN,2019,269
China,CHN,2014,273
Japan,JPN,2020,278
Japan,JPN,2021,302
China,CHN,2015,311
Japan,JPN,2022,314
Japan,JPN,2023,325
Russia,RUS,1968,336
United States,USA,1965,342
China,CHN,2016,349
China,CHN,2017,381
Russia,RUS,1969,406
United States,USA,1966,441
China,CHN,2018,476
Russia,RUS,1970,494
United Kingdom,GBR,2021,509
United States,USA,1967,526
China,CHN,2019,558
United States,USA,1968,587
Russia,RUS,1971,592
United Kingdom,GBR,2022,621
China,CHN,2020,631
United States,USA,1969,649
Russia,RUS,1972,680
United States,USA,1970,680
United States,USA,1971,726
China,CHN,2021,741
United States,USA,1972,763
United Kingdom,GBR,2023,765
Russia,RUS,1973,789
United States,USA,1973,791
United States,USA,1974,810
United States,USA,1975,840
United States,USA,1976,866
Russia,RUS,1974,884
United States,USA,1977,890
China,CHN,2022,923
United States,USA,1978,925
United States,USA,1979,944
United States,USA,1980,960
United States,USA,1981,980
Russia,RUS,1975,995
United States,USA,1982,1000
United States,USA,1983,1025
China,CHN,2023,1051
United States,USA,1984,1056
United States,USA,1985,1086
United States,USA,1986,1097
United States,USA,1987,1107
Russia,RUS,1976,1116
United States,USA,1988,1126
United States,USA,1989,1151
United States,USA,1990,1191
Russia,RUS,1977,1220
United States,USA,1991,1221
United States,USA,1992,1249
United States,USA,1993,1280
United States,USA,1994,1315
Russia,RUS,1978,1339
United States,USA,1995,1355
United States,USA,1996,1396
Russia,RUS,1979,1440
United States,USA,1997,1484
Russia,RUS,1980,1550
United States,USA,1998,1575
United States,USA,1999,1655
Russia,RUS,1981,1674
United States,USA,2000,1711
United States,USA,2001,1745
United States,USA,2002,1778
Russia,RUS,1982,1793
United States,USA,2003,1806
United States,USA,2004,1827
United States,USA,2005,1848
United States,USA,2006,1884
Russia,RUS,1983,1909
United States,USA,2007,1930
United States,USA,2008,1954
United States,USA,2009,1992
Russia,RUS,1984,2024
United States,USA,2010,2027
United States,USA,2011,2056
United States,USA,2012,2089
Russia,RUS,1985,2143
United States,USA,2013,2169
Russia,RUS,1986,2257
United States,USA,2014,2264
United States,USA,2015,2368
Russia,RUS,1987,2373
United States,USA,2016,2473
Russia,RUS,1988,2482
Russia,RUS,1989,2581
Russia,RUS,1990,2677
United States,USA,2017,2759
Russia,RUS,1991,2760
Russia,RUS,1992,2838
Russia,RUS,1993,2897
United States,USA,2018,2949
Russia,RUS,1994,2961
Russia,RUS,1995,2997
Russia,RUS,1996,3025
Russia,RUS,1997,3053
Russia,RUS,1998,3080
Russia,RUS,1999,3095
Russia,RUS,2000,3118
Russia,RUS,2001,3148
Russia,RUS,2002,3167
Russia,RUS,2003,3189
Russia,RUS,2004,3208
Russia,RUS,2005,3227
Russia,RUS,2006,3243
Russia,RUS,2007,3261
Russia,RUS,2008,3282
United States,USA,2019,3311
Russia,RUS,2009,3312
Russia,RUS,2010,3336
Russia,RUS,2011,3360
Russia,RUS,2012,3383
Russia,RUS,2013,3412
Russia,RUS,2014,3447
Russia,RUS,2015,3474
Russia,RUS,2016,3488
Russia,RUS,2017,3513
Russia,RUS,2018,3536
Russia,RUS,2019,3566
Russia,RUS,2020,3590
Russia,RUS,2021,3611
Russia,RUS,2022,3661
Russia,RUS,2023,3723
United States,USA,2020,4295
United States,USA,2021,5527
United States,USA,2022,7466
United States,USA,2023,9632
